"ID","Item Name","Name","Population","Timepoint","Abs. Time","Rel. Time (s)","Type","Centroid X (�m)","Centroid Y (�m)","Longest Axis (�m)","Volume (�m3)","Min (1)","Max (1)","Mean (1)","Sum (1)","Standard Deviation (1)","Min (2)","Max (2)","Mean (2)","Sum (2)","Standard Deviation (2)","Min (3)","Max (3)","Mean (3)","Sum (3)","Standard Deviation (3)","Min (4)","Max (4)","Mean (4)","Sum (4)","Standard Deviation (4)","Centroid Z (�m)","Surface Area (�m2)","Number of contained Population 2","Compartment ROIs ID"
"1033","T2_image5","Population 2 39","Population 2","1","00:00:00.000","0","Object","9.64","12.43","0.544","0.0359","51","90","60.37","1811","8.51","80","173","143.77","4313","24.1","0","18","6.47","194","5.1","40","109","71.37","2141","16.71","0.728","1.02","N/A","1"
"1093","T2_image5","Population 2 69","Population 2","1","00:00:00.000","0","Object","30.65","1.69","0.535","0.0419","51","98","63.29","2215","11.66","132","209","180.63","6322","20.04","0","25","10.57","370","5.44","37","102","66.77","2337","14.66","0.87","0.836","N/A","1"
"1095","T2_image5","Population 2 70","Population 2","1","00:00:00.000","0","Object","5.2","2.81","0.307","0.0239","51","72","57.75","1155","5.37","56","136","100.9","2018","24.98","3","15","8.25","165","3.33","44","99","70.75","1415","11.75","0.96","0.564","N/A","1"
"1097","T2_image5","Population 2 71","Population 2","1","00:00:00.000","0","Object","6.53","3.74","0.301","0.0168","51","69","56.07","785","4.22","121","180","158.5","2219","17.02","5","37","19.36","271","7.88","79","110","96.21","1347","8.05","1.04","0.565","N/A","1"
"1099","T2_image5","Population 2 72","Population 2","1","00:00:00.000","0","Object","7.93","6.52","0.592","0.0598","51","73","57.76","2888","5.8","81","233","174.2","8710","36.23","1","17","5.96","298","3.99","27","105","74.58","3729","18.04","1.13","1.67","N/A","1"
"1101","T2_image5","Population 2 73","Population 2","1","00:00:00.000","0","Object","5.65","12.66","0.438","0.0694","51","106","63.88","3705","12.63","58","192","128.47","7451","30.09","0","25","11.79","684","5.84","28","90","62.22","3609","15.89","1.33","1.66","N/A","1"
"1133","T2_image5","Population 2 89","Population 2","1","00:00:00.000","0","Object","7.69","0.734","0.414","0.0168","52","75","58.14","814","6.8","131","186","157.64","2207","13.05","2","8","5.14","72","1.96","45","92","65.57","918","14.7","1.51","0.548","N/A","1"
"1159","T2_image5","Population 2 102","Population 2","1","00:00:00.000","0","Object","39.01","3.98","0.324","0.0263","51","68","56.45","1242","4.6","102","162","145.77","3207","15.03","0","9","5.14","113","2.3","26","88","59.55","1310","20.76","1.69","0.653","N/A","1"
"2","T2_image5","ROIs 2","ROIs","1","00:00:00.000","0","Object","N/A","N/A","N/A","942.95","0","143","6.39","5031828","7.74","0","208","5.79","4558377","11.97","0","148","6.43","5066953","12.45","0","170","22.96","18092487","33.48","N/A","N/A","37","N/A"
"971","T2_image5","Population 2 8","Population 2","1","00:00:00.000","0","Object","35.52","20.17","0.689","0.144","51","140","70.92","8510","18.33","50","185","129.64","15557","31.01","34","119","74.77","8972","19.47","28","107","73.44","8813","16.84","0.582","2.16","N/A","2"
"973","T2_image5","Population 2 9","Population 2","1","00:00:00.000","0","Object","27.51","21.12","0.851","0.213","51","114","71.06","12649","16.59","22","165","95.4","16981","34.21","30","128","83.29","14825","21.22","48","134","102.46","18237","14.74","0.776","3.72","N/A","2"
"975","T2_image5","Population 2 10","Population 2","1","00:00:00.000","0","Object","22.91","26.11","0.508","0.0419","51","82","61.77","2162","8.57","16","133","67.2","2352","32.1","36","102","73.8","2583","16.16","90","147","117.83","4124","10.46","0.501","1.11","N/A","2"
"977","T2_image5","Population 2 11","Population 2","1","00:00:00.000","0","Object","27.27","28.72","0.742","0.0945","51","115","68.87","5441","14.2","43","158","88.1","6960","27.61","45","124","83.89","6627","16.3","68","130","97.46","7699","12.93","0.608","1.94","N/A","2"
"1035","T2_image5","Population 2 40","Population 2","1","00:00:00.000","0","Object","31.65","19.36","0.366","0.0287","51","64","56.12","1347","4.38","72","154","111.38","2673","23.86","19","99","71.62","1719","18.87","64","123","98.75","2370","14.05","0.897","0.909","N/A","2"
"1037","T2_image5","Population 2 41","Population 2","1","00:00:00.000","0","Object","37.21","20.28","0.787","0.0694","51","89","64.07","3716","10.43","11","94","42.07","2440","23.69","46","110","80.88","4691","15.4","68","126","102.43","5941","12.94","0.953","1.47","N/A","2"
"1039","T2_image5","Population 2 42","Population 2","1","00:00:00.000","0","Object","33.15","20.38","0.761","0.13","51","126","74.98","8173","18.89","12","135","57.53","6271","32.01","39","132","93.39","10179","19.71","26","101","63.19","6888","15.82","0.841","2.25","N/A","2"
"1041","T2_image5","Population 2 43","Population 2","1","00:00:00.000","0","Object","22.92","20.26","0.396","0.0168","51","62","53.57","750","3.35","4","14","9","126","2.83","50","104","79.79","1117","14.96","57","109","81.71","1144","15.94","1.06","0.521","N/A","2"
"1043","T2_image5","Population 2 44","Population 2","1","00:00:00.000","0","Object","33.21","22.24","0.838","0.0945","51","129","70.35","5558","19.56","39","159","106.96","8450","31.22","42","113","79.06","6246","15.67","81","142","114.81","9070","12.39","0.96","1.9","N/A","2"
"1045","T2_image5","Population 2 45","Population 2","1","00:00:00.000","0","Object","20.25","22.94","0.697","0.135","51","143","73.5","8305","20.18","4","42","21.55","2435","6.9","50","142","94.25","10650","18.81","58","122","94.68","10699","13.96","0.955","2.36","N/A","2"
"1047","T2_image5","Population 2 46","Population 2","1","00:00:00.000","0","Object","31.24","22.88","0.324","0.0203","51","80","62.12","1056","7.97","55","158","135.71","2307","25.01","50","93","72.06","1225","13.11","71","125","92.59","1574","13.72","0.662","0.53","N/A","2"
"1049","T2_image5","Population 2 47","Population 2","1","00:00:00.000","0","Object","28.05","22.99","0.628","0.0993","51","103","67.76","5624","12.92","24","168","101.47","8422","30.6","38","123","89.4","7420","18.02","49","112","82.05","6810","14.15","0.818","1.66","N/A","2"
"1051","T2_image5","Population 2 48","Population 2","1","00:00:00.000","0","Object","32.73","24.05","0.351","0.0491","51","96","63.88","2619","13.04","11","96","52.78","2164","19.69","29","78","51.66","2118","12.24","81","127","103.66","4250","11.19","0.719","1.2","N/A","2"
"1053","T2_image5","Population 2 49","Population 2","1","00:00:00.000","0","Object","34.88","25.35","0.482","0.0419","51","88","61.97","2169","9.32","47","124","93.63","3277","18.26","43","113","82.94","2903","18.6","79","144","105","3675","12.94","0.88","1.02","N/A","2"
"1055","T2_image5","Population 2 50","Population 2","1","00:00:00.000","0","Object","34.92","25.73","0.414","0.0144","51","74","60.42","725","7.77","12","35","24.67","296","6.8","74","136","105.67","1268","14.69","56","112","78.33","940","18.35","0.883","0.434","N/A","2"
"1057","T2_image5","Population 2 51","Population 2","1","00:00:00.000","0","Object","20.99","26.52","0.587","0.0335","51","81","62.68","1755","8.47","47","124","77.04","2157","16.53","40","108","70.21","1966","16.24","74","123","103.39","2895","11.26","0.828","0.863","N/A","2"
"1059","T2_image5","Population 2 52","Population 2","1","00:00:00.000","0","Object","26.84","29.77","0.403","0.0515","51","98","69.07","2970","13.76","39","169","107.02","4602","38.53","39","142","92.47","3976","26.37","50","124","90.19","3878","18","0.916","1.13","N/A","2"
"1061","T2_image5","Population 2 53","Population 2","1","00:00:00.000","0","Object","21.23","30.81","0.49","0.0359","51","77","62.63","1879","7.45","65","147","110.53","3316","21.53","46","102","72.13","2164","14.52","62","127","97","2910","15.5","0.839","1","N/A","2"
"1103","T2_image5","Population 2 74","Population 2","1","00:00:00.000","0","Object","37.52","22.54","0.549","0.0431","51","79","61.97","2231","8.64","9","74","32.53","1171","14.57","58","121","84.5","3042","15.79","58","123","89.67","3228","16.79","1.16","1.04","N/A","2"
"1105","T2_image5","Population 2 75","Population 2","1","00:00:00.000","0","Object","37.66","22.83","0.657","0.0395","51","78","60.64","2001","8.47","13","59","32.15","1061","11.68","48","91","65.94","2176","12.4","76","134","104.7","3455","12.22","1.04","1.14","N/A","2"
"1107","T2_image5","Population 2 76","Population 2","1","00:00:00.000","0","Object","27.41","26.13","0.961","0.239","51","123","69.82","13964","16.61","10","152","59.73","11947","38.34","33","148","83.91","16781","22.82","34","140","88.54","17708","21.41","0.95","4.23","N/A","2"
"1109","T2_image5","Population 2 77","Population 2","1","00:00:00.000","0","Object","35.93","26.61","0.301","0.0215","52","74","57.5","1035","6.03","35","117","78.33","1410","21.59","50","82","68.72","1237","7.61","75","130","105.89","1906","15.86","1.09","0.703","N/A","2"
"1111","T2_image5","Population 2 78","Population 2","1","00:00:00.000","0","Object","24.34","28.8","0.637","0.0646","51","88","63.59","3434","8.77","18","161","102.31","5525","37.83","38","103","78.74","4252","14.03","50","104","76.5","4131","13.9","1.09","1.34","N/A","2"
"1113","T2_image5","Population 2 79","Population 2","1","00:00:00.000","0","Object","30.02","29.33","0.549","0.0419","51","96","61.2","2142","9.97","36","138","84.83","2969","25.12","46","116","75.46","2641","17.36","68","123","91.34","3197","14.05","1.13","1.18","N/A","2"
"1115","T2_image5","Population 2 80","Population 2","1","00:00:00.000","0","Object","16.62","29.32","0.539","0.0395","52","84","66.12","2182","10.67","31","91","62.52","2063","16.73","39","86","63.24","2087","14.43","74","139","103.67","3421","11.74","1.23","1.01","N/A","2"
"1117","T2_image5","Population 2 81","Population 2","1","00:00:00.000","0","Object","32.61","29.75","0.749","0.118","51","100","64.74","6409","12.28","12","128","73.02","7229","26.75","22","113","66.4","6574","17.56","49","139","109.02","10793","14.98","0.746","2.54","N/A","2"
"1119","T2_image5","Population 2 82","Population 2","1","00:00:00.000","0","Object","21.31","33.81","0.438","0.0371","51","90","68.97","2138","11.43","10","93","54.94","1703","20.32","46","104","85","2635","14.12","68","119","89.9","2787","11.65","1.29","0.761","N/A","2"
"1135","T2_image5","Population 2 90","Population 2","1","00:00:00.000","0","Object","27.05","20.91","1.06","0.0455","51","90","62.26","2366","8.99","38","145","94.34","3585","24.78","28","111","85.76","3259","15.54","77","130","100.79","3830","13.17","1.45","1.26","N/A","2"
"1137","T2_image5","Population 2 91","Population 2","1","00:00:00.000","0","Object","19.98","21.25","0.307","0.0227","51","68","58.11","1104","5.49","54","117","89.53","1701","16.83","46","97","66.84","1270","13.6","76","129","96.26","1829","11.01","1.31","0.531","N/A","2"
"1139","T2_image5","Population 2 92","Population 2","1","00:00:00.000","0","Object","23.74","22.47","0.438","0.0586","51","105","65.43","3206","12.97","13","94","42.04","2060","18.73","43","82","63.16","3095","9.2","65","122","89.1","4366","10.96","1.2","1.29","N/A","2"
"1141","T2_image5","Population 2 93","Population 2","1","00:00:00.000","0","Object","29.2","22.82","0.686","0.0898","51","117","71.08","5331","16.32","15","91","39.24","2943","14.04","47","121","93.73","7030","16.3","52","114","85.27","6395","11.53","1.17","1.71","N/A","2"
"1143","T2_image5","Population 2 94","Population 2","1","00:00:00.000","0","Object","30.62","23.05","0.382","0.0144","51","66","57.75","693","4.71","15","36","27","324","5.29","80","119","96.58","1159","11.64","63","100","78.58","943","11.6","1.49","0.418","N/A","2"
"1145","T2_image5","Population 2 95","Population 2","1","00:00:00.000","0","Object","23.94","26.4","0.657","0.13","51","105","67.2","7325","13.17","5","83","36.36","3963","17.17","48","144","98.13","10696","22.85","48","135","92.59","10092","15.33","1.52","2.36","N/A","2"
"1147","T2_image5","Population 2 96","Population 2","1","00:00:00.000","0","Object","24.09","26.92","0.217","0.0108","53","78","60.78","547","6.91","4","10","7","63","2","66","90","75.89","683","6.82","88","114","100","900","7.27","1.32","0.272","N/A","2"
"1149","T2_image5","Population 2 97","Population 2","1","00:00:00.000","0","Object","19.49","32.56","0.248","0.0168","52","70","60.5","847","5.82","24","109","60.71","850","25.12","58","102","79.14","1108","14.1","74","103","92","1288","9.56","1.42","0.504","N/A","2"
"1161","T2_image5","Population 2 103","Population 2","1","00:00:00.000","0","Object","36.1","18.99","0.447","0.0144","51","74","59.25","711","6.15","10","20","14.92","179","2.66","47","85","65.58","787","11.66","81","114","101.92","1223","9.21","1.74","0.562","N/A","2"
"1163","T2_image5","Population 2 104","Population 2","1","00:00:00.000","0","Object","30.77","22.56","0.382","0.012","52","74","57.8","578","7.29","7","21","13","130","4.07","63","86","76.6","766","6.92","77","113","96.4","964","12.81","1.59","0.39","N/A","2"
"3","T2_image5","ROIs 3","ROIs","1","00:00:00.000","0","Object","N/A","N/A","N/A","2546.53","0","120","3.45","7331078","5.63","0","202","3.65","7757881","7.13","0","163","4.52","9618406","12","0","159","12.71","27039168","24.25","N/A","N/A","49","N/A"
"957","T2_image5","Population 2 1","Population 2","1","00:00:00.000","0","Object","46.43","38.44","0.426","0.0144","51","72","57.17","686","6.85","3","12","8","96","3.24","58","122","101","1212","16.03","80","124","102.58","1231","15.02","0.303","0.44","N/A","3"
"959","T2_image5","Population 2 2","Population 2","1","00:00:00.000","0","Object","47.7","42.86","0.19","0.012","51","70","58.7","587","6.51","36","78","57.2","572","11.74","61","98","78.9","789","10.99","69","108","83.9","839","10.44","0.0662","0.455","N/A","3"
"961","T2_image5","Population 2 3","Population 2","1","00:00:00.000","0","Object","42.69","43.67","0.631","0.0886","51","96","68.62","5078","13.11","4","40","19.91","1473","7.4","62","116","89.58","6629","12.01","69","131","92.11","6816","11.68","0.152","1.47","N/A","3"
"963","T2_image5","Population 2 4","Population 2","1","00:00:00.000","0","Object","28.18","51.81","0.71","0.121","51","111","65.02","6567","13.38","3","27","14.28","1442","5.71","39","154","101.23","10224","23.47","54","109","77.45","7822","11.27","0.459","2.04","N/A","3"
"979","T2_image5","Population 2 12","Population 2","1","00:00:00.000","0","Object","43.4","37.92","0.18","0.0108","51","71","59.89","539","5.63","31","81","49","441","15.53","54","102","86.11","775","14.9","53","94","74.78","673","11.19","0.405","0.367","N/A","3"
"981","T2_image5","Population 2 13","Population 2","1","00:00:00.000","0","Object","48.06","39.38","0.686","0.103","51","110","63.6","5470","12.87","16","157","88.21","7586","36.53","41","163","87.69","7541","25.97","54","110","77.84","6694","13.44","0.385","2.25","N/A","3"
"983","T2_image5","Population 2 14","Population 2","1","00:00:00.000","0","Object","48.83","39.82","0.19","0.0108","52","70","58.11","523","6.4","4","20","10.11","91","4.51","53","101","81.78","736","13.73","104","135","119.89","1079","10.13","0.625","0.321","N/A","3"
"985","T2_image5","Population 2 15","Population 2","1","00:00:00.000","0","Object","37.18","39.8","0.301","0.0311","51","69","57.46","1494","4.89","22","72","42.96","1117","14.03","55","114","86.23","2242","14.77","79","125","101.62","2642","10.97","0.471","0.741","N/A","3"
"987","T2_image5","Population 2 16","Population 2","1","00:00:00.000","0","Object","40.75","41.68","0.255","0.0168","51","75","60.21","843","6.62","2","8","5.29","74","1.58","28","93","71.14","996","15.01","68","105","84.71","1186","12.19","0.355","0.442","N/A","3"
"989","T2_image5","Population 2 17","Population 2","1","00:00:00.000","0","Object","51.69","42.97","0.451","0.0191","51","73","58.5","936","6.33","7","36","17.38","278","8.47","66","133","85","1360","15.87","83","114","98.75","1580","9.12","0.538","0.601","N/A","3"
"991","T2_image5","Population 2 18","Population 2","1","00:00:00.000","0","Object","51.54","43.34","0.447","0.0227","51","87","61.79","1174","10.34","16","67","44.26","841","15.15","46","83","63.63","1209","8.71","68","115","89.47","1700","11.63","0.47","0.584","N/A","3"
"993","T2_image5","Population 2 19","Population 2","1","00:00:00.000","0","Object","54.22","45.59","0.426","0.0168","52","67","56.79","795","4.09","17","65","43.71","612","12.82","49","105","79.5","1113","15.58","50","99","78.07","1093","11.56","0.544","0.478","N/A","3"
"995","T2_image5","Population 2 20","Population 2","1","00:00:00.000","0","Object","40.64","49.24","0.438","0.0335","51","75","57.36","1606","6.17","21","168","96.36","2698","48.28","67","115","91.29","2556","10.18","73","106","90.71","2540","7.73","0.556","0.955","N/A","3"
"997","T2_image5","Population 2 21","Population 2","1","00:00:00.000","0","Object","35.01","50.81","0.438","0.0371","51","76","58.84","1824","7.34","14","132","73.97","2293","39.76","64","146","103.45","3207","20.96","59","89","72.55","2249","8.21","0.619","1.09","N/A","3"
"999","T2_image5","Population 2 22","Population 2","1","00:00:00.000","0","Object","34.78","51.13","0.324","0.0203","51","75","60.35","1026","6.45","6","31","17.88","304","5.67","58","141","102.18","1737","22.2","25","72","54.18","921","12.14","0.682","0.517","N/A","3"
"1001","T2_image5","Population 2 23","Population 2","1","00:00:00.000","0","Object","28.09","51.48","0.414","0.0156","52","66","56.85","739","4.94","10","57","24.38","317","13.46","75","118","97.92","1273","11.68","63","95","75.85","986","9.04","0.509","0.461","N/A","3"
"1003","T2_image5","Population 2 24","Population 2","1","00:00:00.000","0","Object","39.62","52.66","0.425","0.0539","51","91","63.13","2841","11.29","50","159","116.22","5230","24.73","42","101","69.13","3111","12.05","44","92","66.67","3000","11.21","0.809","1.3","N/A","3"
"1005","T2_image5","Population 2 25","Population 2","1","00:00:00.000","0","Object","42.21","52.91","0.522","0.0395","51","100","71.12","2347","14.31","9","40","19.18","633","7.2","52","122","88.64","2925","18.62","74","116","91.97","3035","9.65","0.431","0.895","N/A","3"
"1007","T2_image5","Population 2 26","Population 2","1","00:00:00.000","0","Object","25.46","53.09","0.565","0.073","51","120","66.25","4041","14.82","13","86","49.36","3011","19.34","55","143","100.57","6135","21.01","65","123","86.38","5269","11.18","0.722","1.6","N/A","3"
"1009","T2_image5","Population 2 27","Population 2","1","00:00:00.000","0","Object","40.33","54.81","0.538","0.0598","51","95","63.3","3165","9.91","5","33","14.94","747","6.62","79","156","114.44","5722","17.89","50","102","73.6","3680","11.89","0.43","1.17","N/A","3"
"1011","T2_image5","Population 2 28","Population 2","1","00:00:00.000","0","Object","31.87","55.63","0.217","0.012","51","69","58","580","5.23","104","141","123","1230","12.69","35","70","51","510","11.87","84","107","96","960","7.06","0.331","0.32","N/A","3"
"1013","T2_image5","Population 2 29","Population 2","1","00:00:00.000","0","Object","31.65","56.14","0.307","0.0144","51","63","55.08","661","3.23","34","94","66","792","19.44","35","100","64.5","774","17.17","72","107","90.42","1085","10.76","0.331","0.399","N/A","3"
"1015","T2_image5","Population 2 30","Population 2","1","00:00:00.000","0","Object","32.25","56.09","0.614","0.061","51","79","59.22","3020","6.61","6","68","21.47","1095","14.16","26","146","81.53","4158","24.93","40","124","91.53","4668","18.38","0.552","1.53","N/A","3"
"1017","T2_image5","Population 2 31","Population 2","1","00:00:00.000","0","Object","44.31","56.99","0.646","0.0347","52","74","58.83","1706","5.33","9","24","15.79","458","4.46","56","115","88.86","2577","12.15","30","93","55.38","1606","11.75","0.719","0.97","N/A","3"
"1019","T2_image5","Population 2 32","Population 2","1","00:00:00.000","0","Object","39.15","58.16","0.248","0.0203","52","78","59.29","1008","6.57","2","12","8.41","143","2.64","58","95","74.65","1269","11.94","67","112","94.18","1601","11.78","0.448","0.507","N/A","3"
"1063","T2_image5","Population 2 54","Population 2","1","00:00:00.000","0","Object","43.18","37.83","0.307","0.0156","51","70","57.77","751","6.72","79","119","94.92","1234","12.39","70","117","92","1196","12.7","42","88","71.23","926","11.05","0.688","0.484","N/A","3"
"1065","T2_image5","Population 2 55","Population 2","1","00:00:00.000","0","Object","40.7","43.73","0.493","0.0239","55","84","67.05","1341","9.25","11","43","19.95","399","6.87","96","144","116.45","2329","14.17","40","106","75.55","1511","14.76","0.811","0.621","N/A","3"
"1067","T2_image5","Population 2 56","Population 2","1","00:00:00.000","0","Object","29.88","44.34","0.418","0.0263","51","80","60.41","1329","8.02","11","33","18.91","416","7.42","87","146","119.95","2639","12.97","45","74","59.82","1316","7.76","0.843","0.662","N/A","3"
"1069","T2_image5","Population 2 57","Population 2","1","00:00:00.000","0","Object","36.46","47.69","0.366","0.0263","51","75","59.18","1302","6.91","20","87","52.59","1157","20.59","65","120","91.64","2016","14.51","71","117","93.73","2062","11.24","0.978","0.699","N/A","3"
"1071","T2_image5","Population 2 58","Population 2","1","00:00:00.000","0","Object","36.79","47.73","0.366","0.0156","52","71","59.23","770","6.22","47","92","69.15","899","13.6","71","107","88.38","1149","9.68","81","112","100.69","1309","9.75","0.968","0.451","N/A","3"
"1073","T2_image5","Population 2 59","Population 2","1","00:00:00.000","0","Object","16.62","48.15","0.425","0.0191","51","68","56.19","899","4.56","15","74","44.38","710","16.94","63","121","96.19","1539","16.38","68","114","95.69","1531","11.67","0.952","0.628","N/A","3"
"1075","T2_image5","Population 2 60","Population 2","1","00:00:00.000","0","Object","38.12","49.63","0.385","0.0335","51","85","62.46","1749","9.54","11","70","42.43","1188","16","51","111","82.54","2311","17.22","63","113","95.32","2669","12.14","0.946","0.909","N/A","3"
"1077","T2_image5","Population 2 61","Population 2","1","00:00:00.000","0","Object","32.54","54.84","0.482","0.0287","51","74","57.88","1389","5.14","54","128","80.83","1940","16.84","22","68","46.12","1107","12.21","50","89","69.5","1668","9.89","0.828","0.825","N/A","3"
"1079","T2_image5","Population 2 62","Population 2","1","00:00:00.000","0","Object","32.79","55.44","0.269","0.0156","51","73","59.69","776","7.33","5","20","12.15","158","4.33","60","100","87.62","1139","11.65","70","108","88.46","1150","12.07","0.917","0.41","N/A","3"
"1081","T2_image5","Population 2 63","Population 2","1","00:00:00.000","0","Object","30.98","55.5","0.414","0.0168","51","67","58.57","820","5.23","4","18","8.86","124","3.74","48","85","68.86","964","10.2","69","101","82.29","1152","9.22","0.828","0.567","N/A","3"
"1083","T2_image5","Population 2 64","Population 2","1","00:00:00.000","0","Object","29.13","56.19","0.72","0.0682","51","85","61.75","3520","9.21","4","29","15.88","905","5.76","62","133","99.33","5662","18.47","58","98","78.09","4451","9.21","0.616","1.79","N/A","3"
"1085","T2_image5","Population 2 65","Population 2","1","00:00:00.000","0","Object","26.72","56.24","0.351","0.0144","52","75","62.33","748","7.11","5","15","11.08","133","2.96","66","107","90.92","1091","12.35","61","92","76","912","8.54","0.662","0.412","N/A","3"
"1087","T2_image5","Population 2 66","Population 2","1","00:00:00.000","0","Object","44.61","56.33","0.269","0.0132","51","74","56.91","626","6.44","47","96","66.91","736","14.7","18","61","42.91","472","10.95","50","84","65.18","717","11.3","0.692","0.453","N/A","3"
"1089","T2_image5","Population 2 67","Population 2","1","00:00:00.000","0","Object","40.04","58.3","0.731","0.0622","51","91","63.88","3322","10.61","4","30","12.96","674","6.21","48","134","97.56","5073","15.72","67","110","85.96","4470","9.68","0.624","1.38","N/A","3"
"1091","T2_image5","Population 2 68","Population 2","1","00:00:00.000","0","Object","42.74","59.4","1.01","0.135","51","95","60.89","6881","9.52","8","65","28.81","3255","14.29","45","146","95.47","10788","18.16","51","116","86.26","9747","12.91","0.858","3.76","N/A","3"
"1121","T2_image5","Population 2 83","Population 2","1","00:00:00.000","0","Object","33.37","39.24","0.554","0.0527","51","83","59.8","2631","7.48","7","27","16.98","747","4.32","61","117","83.2","3661","13.52","70","113","93.27","4104","9.32","1.2","1.27","N/A","3"
"1123","T2_image5","Population 2 84","Population 2","1","00:00:00.000","0","Object","38.42","49.86","0.248","0.0132","52","78","62.82","691","8.71","15","79","38.91","428","18.28","55","116","90.73","998","16.36","76","117","102.64","1129","13.69","1.02","0.401","N/A","3"
"1125","T2_image5","Population 2 85","Population 2","1","00:00:00.000","0","Object","26.8","56.48","0.438","0.0407","51","105","69","2346","16.6","9","31","18.5","629","4.6","66","113","87.47","2974","13.52","55","99","78.56","2671","11.31","0.935","0.939","N/A","3"
"1127","T2_image5","Population 2 86","Population 2","1","00:00:00.000","0","Object","24.91","58.35","0.19","0.0108","51","59","55","495","2.91","80","127","100.11","901","14.13","68","95","82","738","9.09","48","91","77.89","701","12.3","1.03","0.398","N/A","3"
"1129","T2_image5","Population 2 87","Population 2","1","00:00:00.000","0","Object","29.81","60.64","0.324","0.0168","52","68","58","812","4.9","2","12","6.79","95","3.32","39","96","69.71","976","18.9","71","112","92.43","1294","10.97","0.946","0.496","N/A","3"
"1151","T2_image5","Population 2 98","Population 2","1","00:00:00.000","0","Object","30.74","45.53","0.248","0.012","51","81","62.8","628","8.66","9","25","16.1","161","5.92","95","130","111.9","1119","9.93","83","113","96.2","962","10.61","1.32","0.393","N/A","3"
"1153","T2_image5","Population 2 99","Population 2","1","00:00:00.000","0","Object","18.65","50.1","0.539","0.0371","51","82","61.84","1917","9.58","13","61","27.1","840","12.36","61","128","94.61","2933","15.46","51","107","81.35","2522","10.68","1.56","0.897","N/A","3"
"1155","T2_image5","Population 2 100","Population 2","1","00:00:00.000","0","Object","21.9","52.6","0.403","0.0419","51","92","66.6","2331","13.13","29","126","76.89","2691","26.49","43","109","76.49","2677","13.45","58","117","92.37","3233","13.06","1.37","0.978","N/A","3"
"1157","T2_image5","Population 2 101","Population 2","1","00:00:00.000","0","Object","26.95","57.37","0.396","0.0108","51","87","61","549","10.12","3","9","6.22","56","1.62","53","102","81.33","732","16.38","47","98","76.56","689","17.62","1.43","0.363","N/A","3"
