Var1,TCGA_ID,CSNXvalPre,CINscore
62,TCGA_AO_A0JL_01,0.192349166529169,0.206623968456773
63,TCGA_A2_A04T_01,0.146493787832696,NaN
64,TCGA_B6_A0RU_01,0.193059381872786,0.197373451772509
65,TCGA_A2_A0T0_01,0.196760202062677,0.19233342037238
66,TCGA_BH_A0BW_01,0.18952131455336,0.191440717245107
67,TCGA_A2_A0YE_01,0.276700530581564,NaN
68,TCGA_E2_A1LS_01,0.243496644327266,NaN
69,TCGA_AO_A0J2_01,0.199144198667824,0.211255350209583
70,TCGA_E9_A22G_01,0.233610134999509,NaN
71,TCGA_EW_A1P1_01,0.380414632772244,NaN
72,TCGA_A2_A1G6_01,0.641911870554878,NaN
73,TCGA_A7_A26G_01,0.195548176643058,NaN
74,TCGA_B6_A0WX_01,0.194702151242723,0.188036890153065
75,TCGA_B6_A0IK_01,0.155030988482849,0.189385130499507
76,TCGA_EW_A1P4_01,0.197289825841523,NaN
77,TCGA_A2_A0ST_01,0.197569397178086,0.171016789014179
78,TCGA_E2_A1LG_01,0.13535178629985,NaN
79,TCGA_E2_A159_01,0.193736781475991,0.187809017543916
80,TCGA_AQ_A04J_01,0.194754039656374,0.179843550384104
81,TCGA_A7_A0DA_01,0.166119011605844,0.206315632669011
82,TCGA_D8_A142_01,0.227453827861666,0.202189191930448
83,TCGA_AN_A04D_01,0.235102545970392,0.190239386103288
84,TCGA_A1_A0SK_01,0.219723614728935,0.192569427763601
85,TCGA_D8_A1JF_01,0.170164314749655,NaN
86,TCGA_BH_A18G_01,0.196855524257245,0.174129632348457
87,TCGA_B6_A0RE_01,0.193470148147696,0.210058327302825
88,TCGA_C8_A26Y_01,0.213468252747703,NaN
89,TCGA_BH_A0AV_01,0.199345703284479,0.19575307251364
90,TCGA_C8_A12V_01,0.184421487666285,0.167748467704388
91,TCGA_EW_A1OV_01,0.196080110267673,NaN
92,TCGA_D8_A1JL_01,0.157541662774634,NaN
93,TCGA_A2_A0D0_01,0.247429578055687,0.218372653319997
94,TCGA_B6_A0RS_01,0.181047604240234,0.203262331506889
95,TCGA_AN_A0G0_01,0.197871142345207,0.212135343664847
96,TCGA_C8_A1HJ_01,0.189567062549997,NaN
97,TCGA_AN_A0FX_01,0.204607894272897,0.212110748052249
98,TCGA_B6_A0RN_01,3.65700014309195,0.171601197408431
99,TCGA_A8_A07R_01,0.204643576313686,0.240036984868551
100,TCGA_BH_A1F0_01,0.193012066556435,0.171748748832351
101,TCGA_BH_A0B9_01,0.203619302816719,0.191481351286029
102,TCGA_E2_A1LK_01,0.15900522346017,NaN
103,TCGA_A2_A04Q_01,0.18648485181869,0.169100954300488
104,TCGA_EW_A1P8_01,0.167495856979201,NaN
105,TCGA_C8_A134_01,0.218777367445171,0.206083840895717
106,TCGA_E2_A14X_01,0.183727731901826,0.181779821981604
107,TCGA_AR_A0U0_01,0.239681124191634,0.203407133113042
108,TCGA_EW_A1P7_01,0.272825627487578,NaN
109,TCGA_A1_A0SO_01,0.45788685271441,0.229155758443411
110,TCGA_D8_A1XK_01,0.182544897912891,NaN
111,TCGA_A7_A0CE_01,0.194209679423494,0.207224702302492
112,TCGA_E2_A1B6_01,0.198116596944004,0.16505297146552
113,TCGA_E2_A1L7_01,0.20057618165248,NaN
114,TCGA_AN_A0AT_01,0.129645568608169,0.20507149298423
115,TCGA_AR_A0U4_01,0.215990303419915,0.191244202088861
116,TCGA_D8_A1JG_01,0.217178594182627,NaN
117,TCGA_A1_A0SP_01,0.202469371879033,0.191001923466207
118,TCGA_A8_A09X_01,0.250973583837492,0.182266603096901
119,TCGA_E2_A1AZ_01,-0.16338475449686,0.200181402415384
120,TCGA_E2_A1LI_01,0.177943573900961,NaN
121,TCGA_BH_A0E0_01,0.194384189751304,0.212145719088265
122,TCGA_C8_A27B_01,0.203767765278258,NaN
