 Gene_ID	TCGA-B6-A0RG-01	TCGA-AO-A12F-01	TCGA-D8-A27F-01	TCGA-A8-A07O-01	TCGA-D8-A1XQ-01	TCGA-D8-A27H-01	TCGA-AN-A0AR-01	TCGA-AO-A129-01	TCGA-A8-A07C-01	TCGA-A2-A0YM-01	TCGA-AO-A0J6-01	TCGA-D8-A27M-01	TCGA-EW-A1OW-01	TCGA-AR-A0TU-01	TCGA-A2-A0SX-01	TCGA-AN-A0FL-01	TCGA-A7-A26F-01	TCGA-A2-A0D2-01	TCGA-B6-A0RT-01	TCGA-BH-A18Q-01	TCGA-B6-A0IQ-01	TCGA-A2-A04P-01	TCGA-BH-A0BL-01	TCGA-A8-A08R-01	TCGA-AR-A0TS-01	TCGA-BH-A18V-01	TCGA-BH-A1FC-01	TCGA-E2-A158-01	TCGA-E2-A150-01	TCGA-AN-A0AL-01	TCGA-AO-A0J4-01	TCGA-A2-A0T2-01	TCGA-AR-A1AY-01	TCGA-AO-A128-01	TCGA-D8-A143-01	TCGA-A2-A04U-01	TCGA-D8-A147-01	TCGA-EW-A1PB-01	TCGA-C8-A131-01	TCGA-BH-A0WA-01	TCGA-C8-A26X-01	TCGA-E2-A1LL-01	TCGA-E9-A1ND-01	TCGA-AR-A1AI-01	TCGA-A7-A26I-01	TCGA-BH-A1EW-01	TCGA-BH-A0RX-01	TCGA-AO-A124-01	TCGA-AR-A256-01	TCGA-D8-A13Z-01	TCGA-A2-A0CM-01	TCGA-E2-A1LH-01	TCGA-BH-A0E6-01	TCGA-AR-A1AR-01	TCGA-BH-A0B3-01	TCGA-E2-A14N-01	TCGA-BH-A0BG-01	TCGA-BH-A18T-01	TCGA-AR-A1AQ-01	TCGA-AN-A0XU-01	TCGA-E2-A14R-01	TCGA-AO-A0JL-01	TCGA-A2-A04T-01	TCGA-B6-A0RU-01	TCGA-A2-A0T0-01	TCGA-BH-A0BW-01	TCGA-A2-A0YE-01	TCGA-E2-A1LS-01	TCGA-AO-A0J2-01	TCGA-E9-A22G-01	TCGA-EW-A1P1-01	TCGA-A2-A1G6-01	TCGA-A7-A26G-01	TCGA-B6-A0WX-01	TCGA-B6-A0IK-01	TCGA-EW-A1P4-01	TCGA-A2-A0ST-01	TCGA-E2-A1LG-01	TCGA-E2-A159-01	TCGA-AQ-A04J-01	TCGA-A7-A0DA-01	TCGA-D8-A142-01	TCGA-AN-A04D-01	TCGA-A1-A0SK-01	TCGA-D8-A1JF-01	TCGA-BH-A18G-01	TCGA-B6-A0RE-01	TCGA-C8-A26Y-01	TCGA-BH-A0AV-01	TCGA-C8-A12V-01	TCGA-EW-A1OV-01	TCGA-D8-A1JL-01	TCGA-A2-A0D0-01	TCGA-B6-A0RS-01	TCGA-AN-A0G0-01	TCGA-C8-A1HJ-01	TCGA-AN-A0FX-01	TCGA-B6-A0RN-01	TCGA-A8-A07R-01	TCGA-BH-A1F0-01	TCGA-BH-A0B9-01	TCGA-E2-A1LK-01	TCGA-A2-A04Q-01	TCGA-EW-A1P8-01	TCGA-C8-A134-01	TCGA-E2-A14X-01	TCGA-AR-A0U0-01	TCGA-EW-A1P7-01	TCGA-A1-A0SO-01	TCGA-D8-A1XK-01	TCGA-A7-A0CE-01	TCGA-E2-A1B6-01	TCGA-E2-A1L7-01	TCGA-AN-A0AT-01	TCGA-AR-A0U4-01	TCGA-D8-A1JG-01	TCGA-A1-A0SP-01	TCGA-A8-A09X-01	TCGA-E2-A1AZ-01	TCGA-E2-A1LI-01	TCGA-BH-A0E0-01	TCGA-C8-A27B-01
?|340602	0.5081	0	0	0.299	5.7245	0	360.2921	1.5444	0	0	0	0.6158	0.9598	0.9391	0.9634	0	0.2385	1.1089	1.2717	0	4.7991	0	2.7356	24.1738	0.3274	0.3314	0	2.0564	0.4047	12.4799	0.5098	0	0.3674	1.0855	0.3783	0	3.0188	0	0	0	0	0	0	0	1.6598	0.3595	0	63.5602	0.2959	0.2699	0	0.7718	5.6075	0.2472	0	0	169.0787	0	0	0	0	1.834	0	0	94.0348	51.9528	1.2674	0	0	0	0	1.0007	0	0.3792	0	0.3797	0.4278	0.3071	0	0.3174	1.6734	0.7968	0.8638	1.891	0	0	0	30.5951	0	0	0.5274	0.9778	0	0	0	2.451	0	0	4.2017	7.7428	0	0	0.3857	0	0.2118	0	0.3914	0.8278	1.6221	1.6292	0.678	3.1236	0	0	0	1.0349	0	0	0	0	0	0
?|388795	7.6221	2.7222	1.083	0	0	1.3695	1.4426	0.3861	0.7979	0	0.2553	0.6158	1.4397	0	0.3211	0.4606	1.4311	1.4785	2.8612	2.9652	12.2977	3.6307	1.5198	6.12	1.3098	0.3314	0	0.3427	0	0.8052	0.5098	0	0.7348	2.171	3.4046	6.7541	0	1.9363	0.9625	0.3421	0	0	0.4997	1.3615	1.3831	0	0.4778	1.1452	0.5918	2.969	1.8461	4.6305	1.8692	0.7415	0	0.4467	0.3143	0	0	1.3784	0.9171	1.834	0.3477	0.3548	2.2935	0.3685	0	0.5005	1.7096	0	0	0.6671	8.4876	0.3792	0	0.3797	2.1388	0.3071	0.3572	0.9521	1.004	0.7968	2.0155	0	0.2899	0	0.7717	0.6119	0.3358	1.2165	2.1097	0.7334	8.2372	11.6793	0	0	0.638	0	0.9004	1.2905	2.0152	0.5869	0.7713	0.3584	0.6353	0.4993	1.1742	0.8278	1.6221	0.2715	0.339	0.2231	1.941	1.1531	0.3435	0.5174	0.7297	2.0698	0.7502	5.7091	2.4375	0
?|390284	6.0977	7.1459	1.8953	3.5885	6.0107	2.0543	2.1639	3.0888	7.4468	2.6505	4.085	3.3867	1.9196	6.5738	1.2845	4.6062	0.9541	9.6101	1.9075	2.5416	2.9994	5.7054	5.1673	2.448	2.6195	3.6457	1.4711	4.1128	5.6657	4.0258	2.8042	4.9041	2.5719	2.9851	10.5922	4.1564	1.6771	8.068	8.1809	1.3683	8.2683	9.7884	2.9985	2.0422	4.9793	4.3134	3.8227	1.4315	4.1423	2.1592	4.6152	6.9458	3.271	3.4602	4.9909	0.4467	4.3998	5.6865	3.0992	4.8243	4.127	4.2793	6.9547	6.032	1.9659	1.1054	3.1686	13.013	4.2741	12.1278	6.5923	1.3342	1.0952	1.5169	4.6243	7.593	2.9943	7.9853	3.2146	6.6646	2.008	6.3745	8.926	3.4668	2.319	11.25	5.0159	4.5893	3.6938	2.8386	8.9662	2.689	1.6474	5.3662	4.3966	2.8011	4.7847	9.0472	8.1032	3.4412	2.687	1.7607	4.6278	5.7348	2.1177	4.2439	9.002	4.553	7.2995	2.9869	2.7121	2.6774	8.2494	3.7475	0.3435	1.811	5.4725	13.6604	3.0008	5.7091	9.7502	3.6544
?|391343	0.5081	0	0	0.299	0	0	0	0	0.266	0	0.2553	0	0.4799	0	0.3211	0	0.2385	0	0	0.4236	0	0	0.304	0	0	0	0	0.6855	0	1.2077	0	0	0	1.3569	0	0	0	0	0	0	2.2967	1.7274	0	0	0	0	0	0.8589	0	0	0.4615	0	0	0	0	0	0	0.2993	0	0	0	0	0	0	0.3276	0.7369	0	0	0	0	0.5071	0	0.2738	0.3792	0	0	0	0.3071	0.3572	0	0	0.7968	0.5759	0	0	0	0	1.8357	0	0	0	0	0	0	0.2931	0	0	0	0	0	0	0	0	0	0	0.7489	0	2.0695	0	0.2715	0	0	0	0	0	0	0	0	0	0	0	0
?|391714	0.5081	0.6806	0.5415	0	0	0.6848	0	0.7722	1.3298	0.2945	0	0.3079	0	0	0	0.4606	0	0	0.6358	0.4236	0.5999	0	0.9119	1.224	0	0.3314	0.5885	1.3709	0	0	0.2549	0	0.7348	0	0	0	1.3417	0	0	0	0	0	0	0.3404	0	0.7189	0	0	0	0.5398	0	0	0.4673	0.2472	0	0	0	0.5986	0	1.0338	0	0	0	0	0	0	0.6337	2.002	0	0.9329	0	0	0.2738	0.3792	0	0.3797	0	0	0.3572	0.3174	0.3347	0	0	0	0	0	0	0	0	0.811	0	0	0	0	0.2931	0.7003	0	0	0	0	0.2239	0	0	0.3584	0	0	0	0.4139	0	0	0	0	0.4853	0	0.3435	0	0.3648	0	0.7502	0	0	0
?|404770	0	0	0	0	0	0	0.7213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|442388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5174	0	0	0	0	0	0
?|553137	3.0489	1.0208	1.083	11.6627	0	0.3424	1.8033	1.5444	0.266	24.7378	4.851	1.2315	3.8392	0	2.2479	0	0.2385	0.7392	1.2717	3.8123	0	4.1494	0.9119	1.53	6.5488	1.3257	0.5885	0	14.569	0	0.2549	7.5791	2.2045	27.4084	1.1349	0	3.3543	0.3227	0.4812	4.105	3.2154	0	0.9995	6.8074	0.5533	0	0	23.1909	59.4719	0.8097	9.6919	7.7175	0	0.7415	0.3839	0.8935	1.5714	2.095	0.5165	1.0338	5.9613	4.8906	0	0	0	0.3685	0	0	1.7096	0.6219	0.5071	0.6671	0	0.3792	0.578	0.3797	7.2719	0	1.0715	1.9042	0	0	0	0.3152	0.5798	0	1.1575	0.9179	5.7085	2.8386	1.0549	3.1779	0	0.3157	0	0	0	0.4112	2.1008	163.0283	2.2391	0	0.7713	6.81	0.4235	2.2468	0	0.4139	0	0.8146	1.356	0	0	1.1531	6.8705	1.811	0.3648	0	0	41.7668	1.2188	5.7426
?|57714	434.9693	247.7244	1464.2345	844.7967	358.068	1465.0347	429.5375	364.4788	923.6702	2368.3521	624.242	4148.7069	488.5423	798.247	1073.5389	211.4233	1995.7066	314.9141	1457.9558	1177.1683	155.3714	616.7012	834.6657	1285.8017	1395.2194	1440.053	509.8933	312.9123	617.5637	447.2625	1455.6115	221.5782	769.7254	2428.7653	515.6116	54.5525	2315.7916	654.1537	189.1242	1035.4763	284.3362	421.4769	1277.8547	2061.6065	1133.3333	3485.2624	251.8218	661.9426	758.0442	1261.2686	1354.5633	227.6674	94.3925	755.3139	1962.1845	586.1061	718.4274	827.5334	831.6116	1546.5196	411.7849	123.4875	443.3626	241.28	172.6703	4180.9138	1338.7199	78.0781	815.2158	418.5649	689.1481	215.1434	1369.7964	364.0608	258.9595	2191.344	959.0418	264.742	589.6955	737.5436	497.992	747.9416	212.2085	161.0463	1577.2157	205.625	299.7974	407.8323	861.3163	1388.4834	784.2827	3862.3724	221.5815	316.9192	683.5202	383.4034	361.4035	216.3105	4068.4274	1695.4511	952.9781	261.1755	478.5962	439.4265	342.4396	421.3942	1655.5773	697.0199	517.4564	988.3918	1396.0505	392.4587	521.1695	327.1836	1538.99	3453.0777	665.4506	1438.0627	1345.0863	323.9183	159.6587	945.184
?|645851	9.1466	43.2157	9.7471	5.9809	8.0143	4.7933	5.0491	11.9691	25.7979	12.6634	5.8722	9.8522	27.8344	5.0086	17.6622	2.7637	4.7704	9.2404	12.7166	14.8258	39.5927	2.5934	13.982	49.2656	17.6817	10.2743	10.5921	7.8828	12.1408	2.818	8.1575	4.4583	16.1661	11.9403	1.8915	2.5977	9.392	3.5499	3.3686	27.3664	4.5935	2.8789	8.4957	21.1028	18.5339	15.0971	3.8227	4.5809	15.0899	8.9069	12.9226	14.6633	6.0748	8.6505	9.5979	8.0411	3.457	14.9644	4.1322	47.2088	4.5856	11.0038	10.7798	3.5482	2.6212	20.2653	12.3574	7.007	4.844	5.5975	7.0994	13.6758	22.1774	11.7561	2.8902	4.1762	7.6997	11.6708	17.8587	12.377	13.3869	9.8274	10.6536	11.0306	3.4785	2.5	21.2212	10.7083	3.0222	9.3268	5.2743	7.5781	8.2372	5.9975	91.4487	15.4062	5.7416	8.2247	10.5042	7.7428	3.8065	13.499	9.6413	5.0179	6.7768	13.231	10.9589	7.4503	8.9217	7.0599	23.3918	6.2472	4.8526	15.8547	6.8705	8.5376	5.8373	1.6558	22.5056	7.2115	2.4375	7.0478
?|652919	0.3811	7.6597	59.2923	48.0263	26.0436	137.225	0	0	30.3191	65.835	0	129.8676	52.3671	0	0	1.3819	112.675	11.1772	27.6904	51.4921	0.201	0	57.0345	7.0379	0	60.7109	11.8249	0	0	3.3052	102.3415	0	0	26.2714	0	17.0256	6.3731	0	0	50.2755	0	0	0	39.823	26.3568	90.8986	0	0	36.8637	16.8583	13.4995	0	0	76.2481	0	0	0	11.2862	2.5826	35.7409	0	0	12.1707	5.3294	4.2594	47.8998	11.7237	0	11.05	0	89.6653	34.0294	19.9405	0	0	0	0	23.8759	7.5007	0	46.9043	17.9203	0	27.8506	85.983	0	0	0	30.2518	38.5239	0	26.2348	0	0.7323	17.8208	50.5742	0	2.8787	22.7881	25.1489	0	31.6932	29.8997	0	0	6.8502	20.7436	0	12.9229	55.5129	17.9405	0	0	44.6671	0	117.5086	3.9073	7.0372	35.7464	0	0	3.5317
?|653553	2442.129	59.5491	67.4176	108.8517	133.9535	127.0222	296.4566	100.7722	21.2766	38.2847	240.7608	121.3054	54.2292	35.3733	39.499	380.9304	112.582	114.951	81.0682	38.9707	50.9906	796.6805	134.6529	220.9302	115.5861	155.1081	107.9809	34.273	108.4581	323.6715	126.9518	394.115	61.725	290.095	37.0726	184.9591	30.5239	150.7103	152.0693	179.9341	407.4414	1639.8445	297.8496	108.2369	323.9281	447.1603	291.4825	71.8631	204.7489	86.0999	257.9901	728.5356	724.2991	58.0821	135.1377	226.4907	49.3408	68.5371	37.1901	99.9311	115.5566	736.0347	70.5903	118.5111	162.1855	122.6971	62.7376	51.5516	263.2854	29.8531	363.5903	230.487	81.0433	238.9149	204.0462	161.3516	50.9036	593.6732	232.1636	156.1409	199.4645	436.919	26.2021	68.3895	489.8906	383.75	290.1514	507.5723	64.8086	93.2685	128.692	48.8908	92.6689	93.4343	31.6553	416.6667	204.7847	76.9012	152.7611	69.4698	206.4487	301.6724	226.3787	34.767	153.5366	109.5925	74.364	82.7815	61.0999	55.6649	99.3305	275.3235	255.2469	144.1338	201.6489	227.9285	69.6826	250.4398	17.2543	120.1923	563.6807	140.6943
