,depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,lineage_6,lineage_4,H2AC1,Protein,rna_counts
91,ACH-002466,RPE1SS111,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,INCENP,3.4224389
92,ACH-002466,RPE1SS111,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,PLK1,5.6141385
93,ACH-002466,RPE1SS111,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,BUB1,4.6578743
94,ACH-002466,RPE1SS111,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,KAT5,4.67424
95,ACH-002466,RPE1SS111,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,HASPIN,2.38480965
96,ACH-002466,RPE1SS111,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,AURKB,4.93132848
97,ACH-002465,RPE1SS119,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,NDC80,5.1984667
98,ACH-002465,RPE1SS119,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,BIRC5,6.0301948
99,ACH-002465,RPE1SS119,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,TTK,4.2622678
100,ACH-002465,RPE1SS119,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,SGO1,3.04760818
101,ACH-002465,RPE1SS119,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,CDCA8,4.7173968
102,ACH-002465,RPE1SS119,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,KNL1,3.181447675
103,ACH-002465,RPE1SS119,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,INCENP,3.8373378
104,ACH-002465,RPE1SS119,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,PLK1,5.3190181
105,ACH-002465,RPE1SS119,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,BUB1,4.820516
106,ACH-002465,RPE1SS119,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,KAT5,4.83373
107,ACH-002465,RPE1SS119,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,HASPIN,2.42508327
108,ACH-002465,RPE1SS119,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,AURKB,4.86319016
109,ACH-002462,RPE1SS48,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,NDC80,5.6498626
110,ACH-002462,RPE1SS48,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,BIRC5,6.61603122
111,ACH-002462,RPE1SS48,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,TTK,4.7602848
112,ACH-002462,RPE1SS48,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,SGO1,3.30963314
113,ACH-002462,RPE1SS48,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,CDCA8,5.3312072
114,ACH-002462,RPE1SS48,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,KNL1,3.751977807
115,ACH-002462,RPE1SS48,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,INCENP,4.1159072
116,ACH-002462,RPE1SS48,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,PLK1,6.0441493
117,ACH-002462,RPE1SS48,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,BUB1,5.4246467
118,ACH-002462,RPE1SS48,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,KAT5,4.923282
119,ACH-002462,RPE1SS48,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,HASPIN,2.800055
120,ACH-002462,RPE1SS48,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,AURKB,5.53702577
121,ACH-002467,RPE1SS51,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,NDC80,5.581074
122,ACH-002467,RPE1SS51,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,BIRC5,6.45914797
123,ACH-002467,RPE1SS51,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,TTK,4.6925165
124,ACH-002467,RPE1SS51,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,SGO1,3.5375073
125,ACH-002467,RPE1SS51,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,CDCA8,5.0090605
126,ACH-002467,RPE1SS51,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,KNL1,3.407182772
127,ACH-002467,RPE1SS51,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,INCENP,4.026623
128,ACH-002467,RPE1SS51,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,PLK1,5.8045028
129,ACH-002467,RPE1SS51,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,BUB1,5.1280005
130,ACH-002467,RPE1SS51,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,KAT5,4.676612
131,ACH-002467,RPE1SS51,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,HASPIN,2.60263266
132,ACH-002467,RPE1SS51,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,AURKB,5.39075709
133,ACH-002464,RPE1SS6,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,NDC80,5.0805596
134,ACH-002464,RPE1SS6,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,BIRC5,5.98917535
135,ACH-002464,RPE1SS6,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,TTK,4.3148923
136,ACH-002464,RPE1SS6,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,SGO1,3.0182674
137,ACH-002464,RPE1SS6,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,CDCA8,4.8923084
138,ACH-002464,RPE1SS6,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,KNL1,3.284000274
139,ACH-002464,RPE1SS6,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,INCENP,3.8173572
140,ACH-002464,RPE1SS6,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,PLK1,5.4283937
141,ACH-002464,RPE1SS6,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,BUB1,4.9678142
142,ACH-002464,RPE1SS6,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,KAT5,4.899949
143,ACH-002464,RPE1SS6,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,HASPIN,2.54751152
144,ACH-002464,RPE1SS6,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,AURKB,5.04982242
145,ACH-002463,RPE1SS77,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,NDC80,4.2181767
146,ACH-002463,RPE1SS77,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,BIRC5,4.87120789
147,ACH-002463,RPE1SS77,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,TTK,3.5355553
148,ACH-002463,RPE1SS77,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,SGO1,2.19013125
149,ACH-002463,RPE1SS77,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,CDCA8,3.6906629
150,ACH-002463,RPE1SS77,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,KNL1,1.900934414
151,ACH-002463,RPE1SS77,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,INCENP,2.4691775
152,ACH-002463,RPE1SS77,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,PLK1,4.4993612
153,ACH-002463,RPE1SS77,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,BUB1,3.7922619
154,ACH-002463,RPE1SS77,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,KAT5,4.644987
155,ACH-002463,RPE1SS77,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,HASPIN,1.78232468
156,ACH-002463,RPE1SS77,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",,NA,0,AURKB,4.19979011
157,ACH-000364,U2OS,Bone,Osteosarcoma,Osteosarcoma,,NA,0,NDC80,7.3015511
158,ACH-000364,U2OS,Bone,Osteosarcoma,Osteosarcoma,,NA,0,BIRC5,7.64737208
159,ACH-000364,U2OS,Bone,Osteosarcoma,Osteosarcoma,,NA,0,TTK,4.7336255
160,ACH-000364,U2OS,Bone,Osteosarcoma,Osteosarcoma,,NA,0,SGO1,4.60778007
161,ACH-000364,U2OS,Bone,Osteosarcoma,Osteosarcoma,,NA,0,CDCA8,5.9033661
162,ACH-000364,U2OS,Bone,Osteosarcoma,Osteosarcoma,,NA,0,KNL1,5.015047014
163,ACH-000364,U2OS,Bone,Osteosarcoma,Osteosarcoma,,NA,0,INCENP,5.4270731
164,ACH-000364,U2OS,Bone,Osteosarcoma,Osteosarcoma,,NA,0,PLK1,6.5702747
165,ACH-000364,U2OS,Bone,Osteosarcoma,Osteosarcoma,,NA,0,BUB1,6.5835793
166,ACH-000364,U2OS,Bone,Osteosarcoma,Osteosarcoma,,NA,0,KAT5,5.698138
167,ACH-000364,U2OS,Bone,Osteosarcoma,Osteosarcoma,,NA,0,HASPIN,2.98629442
168,ACH-000364,U2OS,Bone,Osteosarcoma,Osteosarcoma,,NA,0,AURKB,6.79133222
,,MCF10A-organoids,,,,,,,NDC80,2.599117912
,,MCF10A-organoids,,,,,,,BIRC5,4.254223083
,,MCF10A-organoids,,,,,,,TTK,2.306897975
,,MCF10A-organoids,,,,,,,SGO1,1.31544475
,,MCF10A-organoids,,,,,,,CDCA8,3.338259244
,,MCF10A-organoids,,,,,,,KNL1,1.958501025
,,MCF10A-organoids,,,,,,,INCENP,3.664677131
,,MCF10A-organoids,,,,,,,PLK1,4.487102627
,,MCF10A-organoids,,,,,,,BUB1,3.668057476
,,MCF10A-organoids,,,,,,,KAT5,5.42838138
,,MCF10A-organoids,,,,,,,HASPIN,1.534848873
,,MCF10A-organoids,,,,,,,AURKB,3.812828723
