	SL27417 (norm counts)	SL27417 (RPKM)
AEBP1	1.872569224	0.013469235
AEBP2	1320.161303	7.177991225
AEN	2475.536515	23.23062131
AES	13864.50254	242.5934282
AFAP1	2160.944885	8.274647324
AFAP1-AS1	13.10798457	0.056359784
AFAP1L1	2222.739669	15.7208055
AFAP1L2	404.4749525	2.989617864
AFF1	1960.579978	6.14920984
AFF2	0	0
AFF3	1.872569224	0.006747497
AFF4	5093.388291	15.56056639
AFG3L1P	312.7190605	3.128609319
AFG3L2	6226.292671	56.96363899
AFM	0	0
AFMID	625.438121	10.62525957
AFP	0	0
AFTPH	1239.640827	8.983010385
AGA	226.5808762	3.207414593
AGAP1	2522.350745	6.900957546
AGAP11	14.9805538	0.139192093
AGAP2	3.745138449	0.02051781
AGAP3	5733.806965	63.78885946
AGAP4	14.9805538	0.180478856
AGAP5	28.08853837	0.339237552
AGAP6	142.3152611	1.503642222
AGAP7	1.872569224	0.022662699
AGAP8	20.59826147	0.249289692
AGAP9	0	0
AGBL1	0	0
AGBL2	1.872569224	0.01530081
AGBL3	24.34339992	0.202191756
AGBL4	0	0
AGBL5	799.5870588	8.268603008
AGER	69.28506131	1.409017031
AGFG1	2885.629175	9.742165199
AGFG2	966.2457198	5.879872517
AGGF1	1224.660273	7.958177815
AGK	1848.225825	18.55420667
AGL	1198.444304	4.895574177
AGMAT	0	0
AGMO	0	0
AGPAT1	2909.972575	39.66424046
AGPAT2	1499.927949	29.30930735
AGPAT3	3724.540187	16.77105093
AGPAT4	451.2891831	1.674600701
AGPAT4-IT1	1.872569224	0.02955951
AGPAT5	4658.95223	24.68817138
AGPAT6	2674.028853	12.40119317
AGPAT9	58.04964596	0.64654382
AGPHD1	65.53992286	1.846578167
AGPS	3275.123574	12.51069044
AGR2	7.490276898	0.224349101
AGR3	0	0
AGRN	10035.09847	40.19991985
AGRP	1.872569224	0.07195407
AGSK1	0	0
AGT	3.745138449	0.042457371
AGTPBP1	949.3925968	6.311254807
AGTR1	0	0
AGTR2	0	0
AGTRAP	1962.452547	48.65023592
AGXT	0	0
AGXT2	0	0
AGXT2L1	0	0
AGXT2L2	353.9155834	5.167741329
AHCTF1	4297.54637	14.60177887
AHCY	28936.81223	370.7980468
AHCYL1	4975.416429	36.22495468
AHCYL2	1185.336319	6.859340957
AHDC1	1091.707858	4.913146782
AHI1	449.4166139	2.384307825
AHNAK	33987.13142	99.78229071
AHNAK2	3144.043728	5.014542429
AHR	2151.582039	10.07587754
AHRR	7.490276898	0.038911389
AHSA1	8199.980634	172.1538635
AHSA2	484.9954291	4.682128661
AHSG	0	0
AHSP	0	0
AICDA	0	0
AIDA	1110.43355	10.82385194
AIF1	0	0
AIF1L	78.64790743	0.667278886
AIFM1	2926.825698	38.17454267
AIFM2	694.7231823	6.262747233
AIFM3	9.362846122	0.117148872
AIG1	1275.219642	27.00547398
AIM1	5108.368844	19.8062845
AIM1L	406.3475217	2.27113211
AIM2	3.745138449	0.073998773
AIMP1	2795.745852	31.68212825
AIMP2	1687.184871	40.55248492
AIP	2951.169098	70.23937021
AIPL1	0	0
AIRE	0	0
AJAP1	0	0
AJUBA	3765.73671	29.40420398
AK1	2155.327177	27.8630113
AK2	8977.096862	72.02207085
AK3	4426.753647	31.59226805
AK4	2492.389638	10.57780255
AK5	0	0
AK7	1.872569224	0.020792811
AK8	7.490276898	0.104510451
AKAP1	4707.63903	34.35240502
AKAP10	885.7252432	8.916252738
AKAP11	3108.464913	9.162940859
AKAP12	144.1878303	0.505613856
AKAP13	1565.467872	3.449538829
AKAP14	1.872569224	0.083488692
AKAP17A	0	0
AKAP2	13.10798457	0.055007279
AKAP3	5.617707673	0.054413028
AKAP4	0	0
AKAP5	1.872569224	0.008432551
AKAP6	59.92221518	0.168699797
AKAP7	256.5419838	2.961208616
AKAP8	2471.791376	20.45461131
AKAP8L	1889.422347	26.27488537
AKAP9	1923.128594	4.528795335
AKD1	59.92221518	0.396358548
AKIP1	1775.195625	41.0788182
AKIRIN1	2001.776501	22.02651276
AKIRIN2	1378.210949	20.88647056
AKIRIN2-AS1	9.362846122	0.618609654
AKNA	657.2717978	2.607589702
AKNAD1	52.43193828	0.505007459
AKR1A1	2638.450037	52.72069561
AKR1B1	7868.535881	165.5524226
AKR1B10	50.55936906	0.930956824
AKR1B15	3.745138449	0.067805448
AKR1C1	443.7989062	9.460122002
AKR1C2	1550.487318	12.95543844
AKR1C3	923.1766277	22.61724082
AKR1C4	0	0
AKR1CL1	0	0
AKR1D1	0	0
AKR1E2	39.32395371	0.719090145
AKR7A2	1280.83735	14.32029246
AKR7A2P1	1.872569224	0.04133416
AKR7A3	1.872569224	0.044315311
AKR7L	1.872569224	0.024749986
AKT1	8950.880893	91.97563216
AKT1S1	5349.930274	77.61317036
AKT2	7067.076253	39.31825921
AKT3	1941.854286	32.97002435
AKTIP	290.2482298	3.857196579
ALAD	852.0189971	7.84664696
ALAS1	1353.867549	16.81008612
ALAS2	3.745138449	0.05435894
ALB	0	0
ALCAM	9962.068274	74.72061052
ALDH16A1	3147.788866	30.50967211
ALDH18A1	5378.018813	45.6291657
ALDH1A1	1.872569224	0.02321099
ALDH1A2	5.617707673	0.04642855
ALDH1A3	1833.245271	15.37527469
ALDH1B1	3009.218744	28.64372397
ALDH1L1	3.745138449	0.035257958
ALDH1L2	3061.650682	11.93408005
ALDH2	0	0
ALDH3A1	1078.599873	17.82604064
ALDH3A2	5134.584813	39.96442595
ALDH3B1	1082.345012	11.26844349
ALDH3B2	50.55936906	0.576306605
ALDH4A1	574.8787519	5.200843768
ALDH5A1	84.2656151	0.478760546
ALDH6A1	95.50103045	1.286411331
ALDH7A1	3486.723896	20.70427897
ALDH8A1	5.617707673	0.068299451
ALDH9A1	3623.421449	42.51332093
ALDOA	55695.82644	1014.659223
ALDOB	1.872569224	0.022625194
ALDOC	711.5763053	12.65550274
ALG1	904.4509354	6.736266291
ALG10	146.0603995	1.365376853
ALG10B	196.6197686	0.570145448
ALG11	290.2482298	4.279823015
ALG12	1013.05995	12.51994733
ALG13	745.2825513	7.150022071
ALG14	838.9110126	23.26583272
ALG1L	0	0
ALG1L2	1.872569224	0.056904364
ALG2	1179.718611	11.85125864
ALG3	3595.332911	69.74120185
ALG5	2071.061562	52.20691699
ALG6	705.9585976	6.143110913
ALG8	3061.650682	52.8428651
ALG9	1700.292856	7.918677112
ALK	1.872569224	0.008769258
ALKBH1	396.9846756	4.495246145
ALKBH2	1514.908503	47.06408573
ALKBH3	1157.247781	21.67760599
ALKBH4	638.5461055	8.80435168
ALKBH5	1977.433101	16.84090366
ALKBH6	346.4253065	10.64360051
ALKBH7	1601.046687	35.23417851
ALKBH8	773.3710897	5.569653165
ALLC	0	0
ALMS1	535.5547982	1.212492187
ALMS1P	0	0
ALOX12	7.490276898	0.093319272
ALOX12B	13.10798457	0.153918639
ALOX12P2	46.81423061	0.496415155
ALOX15	0	0
ALOX15B	4452.969616	49.72893009
ALOX15P1	0	0
ALOX5	0	0
ALOX5AP	13.10798457	0.36078761
ALOXE3	101.1187381	0.895118231
ALPI	0	0
ALPK1	305.2287836	1.667977213
ALPK2	1.872569224	0.007504473
ALPK3	5.617707673	0.015046802
ALPL	0	0
ALPP	333.317322	3.408244618
ALPPL2	9.362846122	0.110118996
ALS2	1031.785643	6.166902677
ALS2CL	3280.741281	19.29673387
ALS2CR11	0	0
ALS2CR12	5.617707673	0.083552473
ALS2CR8	112.3541535	0.592953033
ALX1	0	0
ALX3	46.81423061	0.9274948
ALX4	5.617707673	0.030035753
ALYREF	4548.470646	121.7507717
AMACR	54.30450751	0.49760518
AMBN	0	0
AMBP	0	0
AMBRA1	1807.029302	10.5457864
AMD1	7141.979022	64.0863255
AMDHD1	5.617707673	0.077129892
AMDHD2	477.5051522	7.659818085
AMELX	0	0
AMELY	0	0
AMFR	2726.460791	22.24064135
AMH	39.32395371	0.570485326
AMHR2	0	0
AMICA1	0	0
AMIGO1	20.59826147	0.243635491
AMIGO2	831.4207357	7.035694431
AMIGO3	73.03019975	0.717845387
AMMECR1	1368.848103	7.387692348
AMMECR1L	1481.202257	9.300345926
AMN	1.872569224	0.035394882
AMN1	183.511784	2.560506047
AMOT	1.872569224	0.008140085
AMOTL1	7323.618237	23.80073452
AMOTL2	2372.545207	13.92963679
AMPD1	0	0
AMPD2	1893.167486	14.88600685
AMPD3	602.9672903	4.077008586
AMPH	0	0
AMT	9.362846122	0.132602069
AMTN	7.490276898	0.221621453
AMY1A	0	0
AMY1B	0	0
AMY1C	0	0
AMY2A	0	0
AMY2B	7.490276898	0.100941566
AMZ1	0	0
AMZ2	2415.6143	49.78388887
AMZ2P1	187.2569224	1.59107051
ANAPC1	2505.497622	9.517254814
ANAPC10	338.9350296	6.59866794
ANAPC11	2615.979207	88.21602254
ANAPC13	1430.642887	29.33947428
ANAPC16	2235.847654	20.82079131
ANAPC2	1056.129043	11.47837465
ANAPC4	1005.569674	11.11081921
ANAPC5	5492.245535	64.73920445
ANAPC7	2228.357377	24.86635888
ANG	33.70624604	1.004420083
ANGEL1	1260.239088	8.974169197
ANGEL2	2020.502193	12.71664134
ANGPT1	41.19652294	0.278006252
ANGPT2	1.872569224	0.010406298
ANGPT4	1.872569224	0.02860099
ANGPTL1	0	0
ANGPTL2	0	0
ANGPTL3	0	0
ANGPTL4	3773.226987	59.90239916
ANGPTL5	1.872569224	0.023181472
ANGPTL6	11.23541535	0.177261243
ANGPTL7	0	0
ANK1	86.13818433	0.318037082
ANK2	157.2958149	0.571692327
ANK3	1016.805089	3.152731935
ANKAR	80.52047665	0.535274076
ANKDD1A	18.72569224	0.176574406
ANKFN1	0	0
ANKFY1	2089.787254	12.41174787
ANKH	2020.502193	7.20014836
ANKHD1	140.4426918	1.909840283
ANKHD1-EIF4EBP3	0	0
ANKIB1	2398.761177	11.55776352
ANKK1	11.23541535	0.129432174
ANKLE1	3.745138449	0.034092951
ANKLE2	3005.473605	19.74568615
ANKMY1	239.6888607	2.465982723
ANKMY2	513.0839675	5.887511041
ANKRA2	376.3864141	5.021335669
ANKRD1	16.85312302	0.250466077
ANKRD10	936.2846122	10.98535424
ANKRD11	3698.324218	11.61885423
ANKRD12	863.2544125	2.231155684
ANKRD13A	2099.150101	15.74672225
ANKRD13B	1254.62138	11.60196726
ANKRD13C	1058.001612	5.464640571
ANKRD13D	1308.925888	17.64768251
ANKRD16	468.1423061	8.210974989
ANKRD17	5578.38372	18.17143261
ANKRD18A	322.0819066	2.527091905
ANKRD18B	342.6801681	2.677916001
ANKRD18DP	0	0
ANKRD19P	264.0322606	3.356812439
ANKRD2	488.7405676	10.24609432
ANKRD20A1	0	0
ANKRD20A11P	1.872569224	0.050494084
ANKRD20A2	0	0
ANKRD20A3	0	0
ANKRD20A4	3.745138449	0.031230779
ANKRD20A5P	7.490276898	0.059263174
ANKRD20A8P	1.872569224	0.014998654
ANKRD20A9P	18.72569224	0.014557071
ANKRD22	108.609015	0.797519592
ANKRD23	22.47083069	0.255041244
ANKRD24	0	0
ANKRD26	438.1811985	1.897577202
ANKRD26P1	0	0
ANKRD26P3	0	0
ANKRD27	2788.255575	18.4055389
ANKRD28	2483.026792	11.4916694
ANKRD29	125.462138	1.619046071
ANKRD30A	0	0
ANKRD30B	0	0
ANKRD30BL	1.872569224	0.03483127
ANKRD30BP2	0	0
ANKRD31	1.872569224	0.009097503
ANKRD32	734.047136	5.653100376
ANKRD33	0	0
ANKRD33B	426.9457832	1.336499228
ANKRD34A	168.5312302	1.364096011
ANKRD34B	0	0
ANKRD34C	0	0
ANKRD35	7.490276898	0.065315131
ANKRD36	82.39304588	0.388589165
ANKRD36B	56.17707673	0.276094379
ANKRD36BP1	69.28506131	1.094293379
ANKRD36BP2	0	0
ANKRD37	39.32395371	1.236153888
ANKRD39	636.6735363	20.79746283
ANKRD40	2149.70947	15.07648589
ANKRD42	187.2569224	2.142832815
ANKRD44	52.43193828	0.397503275
ANKRD45	0	0
ANKRD46	868.8721201	9.150336585
ANKRD49	558.0256289	8.567906331
ANKRD5	1024.295366	7.912378285
ANKRD50	2380.035484	8.524529803
ANKRD52	3700.196788	12.52407796
ANKRD53	0	0
ANKRD54	801.4596281	11.20671295
ANKRD55	0	0
ANKRD6	26.21596914	0.14380002
ANKRD62P1-PARP4P3	7.490276898	0.143061068
ANKRD63	0	0
ANKRD65	39.32395371	0.696836749
ANKRD7	0	0
ANKRD9	286.5030913	5.158334954
ANKS1A	1977.433101	9.127146935
ANKS1B	33.70624604	0.317731337
ANKS3	260.2871222	2.872724107
ANKS4B	0	0
ANKS6	1516.781072	6.210729904
ANKUB1	0	0
ANKZF1	1234.023119	14.25251199
ANLN	17575.93474	108.1488173
ANO1	93.62846122	0.654754471
ANO10	1074.854735	12.43630889
ANO2	0	0
ANO3	0	0
ANO4	61.79478441	0.440901071
ANO5	0	0
ANO6	2303.260146	11.33322071
ANO7	33.70624604	0.394521716
ANO8	1366.975534	9.656535608
ANO9	771.4985205	7.899810131
ANP32A	6222.547533	73.89937595
ANP32A-IT1	1.872569224	0.016672285
ANP32AP1	142.3152611	5.639168386
ANP32B	10948.91226	198.7220269
ANP32C	84.2656151	3.495496029
ANP32D	13.10798457	0.969102922
ANP32E	8291.736526	72.84765153
ANPEP	36462.66794	293.4219177
ANTXR1	1616.027241	20.22856221
ANTXR2	812.6950434	4.602604586
ANTXRL	0	0
ANXA1	29996.68641	632.0350012
ANXA10	0	0
ANXA11	7552.071682	87.5873637
ANXA13	0	0
ANXA2	49463.91606	893.3251348
ANXA2P1	338.9350296	7.375560291
ANXA2P2	35638.73748	795.0853309
ANXA2P3	28.08853837	0.608062566
ANXA3	7027.752299	127.871125
ANXA4	4344.360601	59.59108349
ANXA5	11932.0111	219.7058104
ANXA6	108.609015	1.091819421
ANXA7	4406.155385	59.64033596
ANXA8	0	0
ANXA8L1	0	0
ANXA8L2	498.1034137	7.211816982
ANXA9	80.52047665	1.299148628
AOAH	1.872569224	0.022625194
AOC2	16.85312302	0.187813715
AOC3	1.872569224	0.013599874
AOC4	0	0
AOX1	657.2717978	3.918837851
AOX2P	0	0
AP1AR	1314.543596	13.47452987
AP1B1	5997.839226	42.44156876
AP1B1P1	0	0
AP1G1	3417.438835	14.63347441
AP1G2	2213.376823	22.6481361
AP1M1	3659.000265	45.26781299
AP1M2	1797.666455	30.18843571
AP1S1	9066.980185	204.9421226
AP1S2	462.5245984	5.9294197
AP1S3	3715.177341	27.14416446
AP2A1	6632.640193	56.26567928
AP2A2	4106.544309	25.88762221
AP2B1	14531.13718	74.18168429
AP2M1	12673.54851	192.2143403
AP2S1	8797.330217	310.0912117
AP3B1	3610.313465	26.63118468
AP3B2	46.81423061	0.371602972
AP3D1	9881.547797	60.47851578
AP3M1	3020.454159	17.02674562
AP3M2	925.0491969	7.439943859
AP3S1	3516.685004	80.04567846
AP3S2	11.23541535	0.055349285
AP4B1	539.2999366	5.807266559
AP4E1	1202.189442	5.201545297
AP4M1	837.0384433	13.19170899
AP4S1	125.462138	1.218862695
AP5B1	1868.824086	12.28076581
APAF1	548.6627828	2.277250195
APBA1	0	0
APBA2	3.745138449	0.030334263
APBA3	773.3710897	10.51930302
APBB1	20.59826147	0.229901023
APBB1IP	0	0
APBB2	3908.051971	16.33664328
APBB3	209.7277531	2.872089315
APC	1591.683841	4.307908194
APC2	146.0603995	0.420820569
APCDD1	3.745138449	0.042772854
APCDD1L	7.490276898	0.070379786
APCS	0	0
APEH	8301.099372	88.60344268
APEX1	8295.481664	159.6408329
APEX2	1009.314812	14.95447253
APH1A	7258.078314	101.4159914
APH1B	162.9135225	1.1530788
API5	7902.242127	61.55537324
APIP	1084.217581	25.30988737
APITD1	299.6110759	6.568779991
