"","gene","cell_line","rna_counts"
"109","BIRC5","TCGA.AR.A2LR.01A.12R.A18M.07",6.09260681226533
"110","BIRC5","TCGA.BH.A0AZ.01A.21R.A12P.07",4.15761611895106
"111","BIRC5","TCGA.BH.A18K.01A.11R.A12D.07",4.96011832568686
"112","BIRC5","TCGA.AO.A0J7.01A.11R.A034.07",5.95468477477339
"113","BIRC5","TCGA.A2.A0YH.01A.11R.A109.07",5.66642748362955
"114","BIRC5","TCGA.BH.A42V.01A.11R.A24H.07",3.39572864723495
"115","BIRC5","TCGA.AR.A5QN.01A.12R.A28M.07",4.36883858616723
"116","BIRC5","TCGA.B6.A0X1.01A.11R.A109.07",7.17564781344988
"117","BIRC5","TCGA.S3.A6ZG.01A.22R.A32P.07",5.47123049233545
"118","BIRC5","TCGA.A8.A085.01A.11R.A00Z.07",6.29071687033744
"119","BIRC5","TCGA.D8.A1J9.01A.11R.A13Q.07",4.7592012034731
"120","BIRC5","TCGA.A7.A0DC.01B.04R.A22O.07",2.23694875686612
"121","BIRC5","TCGA.AR.A24S.01A.11R.A169.07",6.26193402293772
"122","BIRC5","TCGA.BH.A0BA.01A.11R.A056.07",5.14759931650646
"123","BIRC5","TCGA.A2.A0YM.01A.11R.A109.07",7.19413583850201
"124","BIRC5","TCGA.D8.A27N.01A.11R.A16F.07",6.92223227251383
"125","BIRC5","TCGA.EW.A1PH.01A.11R.A14M.07",6.49979393884599
"126","BIRC5","TCGA.EW.A1OZ.01A.11R.A144.07",6.23252698775146
"127","BIRC5","TCGA.AO.A12G.01A.11R.A10J.07",4.50318186510319
"128","BIRC5","TCGA.AR.A1AK.01A.21R.A12P.07",5.66202773096764
"129","BIRC5","TCGA.AC.A5EH.01A.11R.A28M.07",5.34114667408852
"130","BIRC5","TCGA.D8.A27I.01A.11R.A16F.07",4.02500602110395
"131","BIRC5","TCGA.D8.A1JP.01A.11R.A13Q.07",5.54478200203323
"132","BIRC5","TCGA.E2.A14R.01A.11R.A115.07",6.52936744261038
"133","BIRC5","TCGA.A2.A0SW.01A.11R.A084.07",6.45027075941799
"134","BIRC5","TCGA.AQ.A0Y5.01A.11R.A14M.07",3.01564516926463
"135","BIRC5","TCGA.AO.A125.01A.11R.A10J.07",3.82491569236878
"136","BIRC5","TCGA.A2.A0T2.01A.11R.A084.07",4.2018142953418
"137","BIRC5","TCGA.A2.A1FW.01A.11R.A13Q.07",6.25613183799424
"138","BIRC5","TCGA.B6.A0I9.01A.11R.A034.07",6.03317382538249
"139","BIRC5","TCGA.GM.A2DK.01A.21R.A180.07",4.48308420269106
"140","BIRC5","TCGA.E2.A159.01A.11R.A115.07",5.33003141445396
"141","BIRC5","TCGA.A8.A084.01A.21R.A00Z.07",5.26802594356609
"142","BIRC5","TCGA.BH.A42U.01A.12R.A24H.07",2.93519201809738
"143","BIRC5","TCGA.D8.A1JH.01A.11R.A13Q.07",3.09160180346855
"144","BIRC5","TCGA.E2.A14P.01A.31R.A12D.07",5.67849436264425
"145","BIRC5","TCGA.E2.A1L7.01A.11R.A144.07",7.41957601108217
"146","BIRC5","TCGA.E2.A1IL.01A.11R.A14D.07",3.37706873371889
"147","BIRC5","TCGA.BH.A6R8.01A.21R.A33J.07",4.53902973325043
"148","BIRC5","TCGA.A7.A4SD.01A.11R.A266.07",5.83799960531502
"149","BIRC5","TCGA.A8.A083.01A.21R.A00Z.07",2.14653416720585
"150","BIRC5","TCGA.B6.A0I5.01A.11R.A034.07",4.22001291824964
"151","BIRC5","TCGA.D8.A1JA.01A.11R.A13Q.07",3.79824147267844
"152","BIRC5","TCGA.A2.A0D0.01A.11R.A00Z.07",6.89166075556294
"153","BIRC5","TCGA.A8.A07B.01A.11R.A00Z.07",6.22550538960269
"154","BIRC5","TCGA.C8.A275.01A.21R.A16F.07",6.45146712766405
"155","BIRC5","TCGA.AO.A1KQ.01A.11R.A13Q.07",7.20955626934769
"156","BIRC5","TCGA.E9.A5UP.01A.11R.A28M.07",3.66916820794971
"157","BIRC5","TCGA.AR.A24T.01A.11R.A169.07",3.1661861504592
"158","BIRC5","TCGA.D8.A1XB.01A.11R.A14D.07",4.27449768601748
"159","BIRC5","TCGA.E9.A245.01A.22R.A16F.07",4.04676787336357
"160","BIRC5","TCGA.WT.AB44.01A.11R.A41B.07",1.90938193842098
"161","BUB1","TCGA.E9.A1NI.01A.11R.A14D.07",4.21813220079824
"162","BUB1","TCGA.E2.A1LK.01A.21R.A14D.07",4.76117043153295
"163","BUB1","TCGA.BH.A0B2.01A.11R.A10J.07",2.84344605178955
"164","BUB1","TCGA.E2.A107.01A.11R.A10J.07",4.91413904923979
"165","BUB1","TCGA.LL.A5YN.01A.11R.A28M.07",3.2825015782615
"166","BUB1","TCGA.BH.A0DQ.01A.11R.A084.07",4.17765967654121
"167","BUB1","TCGA.D8.A73X.01A.11R.A32P.07",3.01309103460681
"168","BUB1","TCGA.AR.A0TP.01A.11R.A084.07",5.40307110649337
"169","BUB1","TCGA.E2.A1IF.01A.11R.A144.07",3.21885145209148
"170","BUB1","TCGA.EW.A6SD.01A.12R.A33J.07",4.56347914354976
"171","BUB1","TCGA.AO.A03T.01A.21R.A034.07",3.62745601162169
"172","BUB1","TCGA.OL.A5D8.01A.11R.A27Q.07",3.46310247758856
"173","BUB1","TCGA.AR.A24X.01A.11R.A169.07",3.92324960057377
"174","BUB1","TCGA.B6.A0WV.01A.11R.A109.07",5.31410316140773
"175","BUB1","TCGA.A8.A09W.01A.11R.A00Z.07",5.93277340104742
"176","BUB1","TCGA.C8.A8HQ.01A.11R.A36F.07",5.25843621114166
"177","BUB1","TCGA.B6.A0RU.01A.11R.A084.07",5.40785376432691
"178","BUB1","TCGA.A8.A09E.01A.11R.A00Z.07",4.88164261834762
"179","BUB1","TCGA.A7.A6VX.01A.12R.A33J.07",3.76527803964119
"180","BUB1","TCGA.E2.A14O.01A.31R.A115.07",3.30047005524381
"181","BUB1","TCGA.A2.A1G6.01A.11R.A13Q.07",1.52310923456963
"182","BUB1","TCGA.E2.A1LA.01A.11R.A144.07",3.62060973866926
"183","BUB1","TCGA.BH.A0GZ.01A.11R.A056.07",3.58158435720794
"184","BUB1","TCGA.D8.A1JG.01B.11R.A13Q.07",5.63884079640485
"185","BUB1","TCGA.A7.A13G.01B.04R.A22O.07",2.76079559267826
"186","BUB1","TCGA.B6.A400.01A.11R.A239.07",5.53314318072271
"187","BUB1","TCGA.MS.A51U.01A.31R.A266.07",3.06805034226143
"188","BUB1","TCGA.BH.A0EB.01A.11R.A034.07",3.38899069714189
"189","BUB1","TCGA.AR.A2LR.01A.12R.A18M.07",5.41867783491442
"190","BUB1","TCGA.BH.A0AZ.01A.21R.A12P.07",2.35664224957369
"191","BUB1","TCGA.BH.A18K.01A.11R.A12D.07",4.30479331316469
"192","BUB1","TCGA.AO.A0J7.01A.11R.A034.07",4.29912707999731
"193","BUB1","TCGA.A2.A0YH.01A.11R.A109.07",4.24537272027281
"194","BUB1","TCGA.BH.A42V.01A.11R.A24H.07",2.16285030997951
"195","BUB1","TCGA.AR.A5QN.01A.12R.A28M.07",3.75621276881992
"196","BUB1","TCGA.B6.A0X1.01A.11R.A109.07",6.55452990854372
"197","BUB1","TCGA.S3.A6ZG.01A.22R.A32P.07",4.99894885126439
"198","BUB1","TCGA.A8.A085.01A.11R.A00Z.07",4.09201403345806
"199","BUB1","TCGA.D8.A1J9.01A.11R.A13Q.07",4.4768959136261
"200","BUB1","TCGA.A7.A0DC.01B.04R.A22O.07",2.7984615466138
"201","BUB1","TCGA.AR.A24S.01A.11R.A169.07",5.10640309637697
"202","BUB1","TCGA.BH.A0BA.01A.11R.A056.07",4.17626989291738
"203","BUB1","TCGA.A2.A0YM.01A.11R.A109.07",6.63885545085929
"204","BUB1","TCGA.D8.A27N.01A.11R.A16F.07",3.97780236239578
"205","BUB1","TCGA.EW.A1PH.01A.11R.A14M.07",5.86420179987879
"206","BUB1","TCGA.EW.A1OZ.01A.11R.A144.07",4.58286935809666
"207","BUB1","TCGA.AO.A12G.01A.11R.A10J.07",3.48322493249685
"208","BUB1","TCGA.AR.A1AK.01A.21R.A12P.07",4.00236414331729
"209","BUB1","TCGA.AC.A5EH.01A.11R.A28M.07",3.87546574967283
"210","BUB1","TCGA.D8.A27I.01A.11R.A16F.07",3.20922928743748
"211","BUB1","TCGA.D8.A1JP.01A.11R.A13Q.07",3.9772606575385
"212","BUB1","TCGA.E2.A14R.01A.11R.A115.07",5.08163616889651
"213","BUB1","TCGA.A2.A0SW.01A.11R.A084.07",4.83445654577705
"214","BUB1","TCGA.AQ.A0Y5.01A.11R.A14M.07",2.33857800692207
"215","BUB1","TCGA.AO.A125.01A.11R.A10J.07",2.75993948391098
"216","BUB1","TCGA.A2.A0T2.01A.11R.A084.07",3.53973985473798
"217","BUB1","TCGA.A2.A1FW.01A.11R.A13Q.07",4.69259327206338
"218","BUB1","TCGA.B6.A0I9.01A.11R.A034.07",4.23735401596073
"219","BUB1","TCGA.GM.A2DK.01A.21R.A180.07",2.75316697214963
"220","BUB1","TCGA.E2.A159.01A.11R.A115.07",5.01820623111278
"221","BUB1","TCGA.A8.A084.01A.21R.A00Z.07",5.52619685718876
"222","BUB1","TCGA.BH.A42U.01A.12R.A24H.07",1.71158909670909
"223","BUB1","TCGA.D8.A1JH.01A.11R.A13Q.07",2.94096793146593
"224","BUB1","TCGA.E2.A14P.01A.31R.A12D.07",5.68867671770134
"225","BUB1","TCGA.E2.A1L7.01A.11R.A144.07",5.5607152923304
"226","BUB1","TCGA.E2.A1IL.01A.11R.A14D.07",3.1944572033647
"227","BUB1","TCGA.BH.A6R8.01A.21R.A33J.07",2.8058109000718
"228","BUB1","TCGA.A7.A4SD.01A.11R.A266.07",5.13968280185193
"229","BUB1","TCGA.A8.A083.01A.21R.A00Z.07",2.84120985684536
"230","BUB1","TCGA.B6.A0I5.01A.11R.A034.07",2.15042163559595
"231","BUB1","TCGA.D8.A1JA.01A.11R.A13Q.07",4.31229181181921
"232","BUB1","TCGA.A2.A0D0.01A.11R.A00Z.07",7.80614217908145
"233","BUB1","TCGA.A8.A07B.01A.11R.A00Z.07",5.15222402389192
"234","BUB1","TCGA.C8.A275.01A.21R.A16F.07",5.495913611426
"235","BUB1","TCGA.AO.A1KQ.01A.11R.A13Q.07",4.61911601927779
"236","BUB1","TCGA.E9.A5UP.01A.11R.A28M.07",1.86648284279536
"237","BUB1","TCGA.AR.A24T.01A.11R.A169.07",2.93073593805239
"238","BUB1","TCGA.D8.A1XB.01A.11R.A14D.07",3.47949901950203
"239","BUB1","TCGA.E9.A245.01A.22R.A16F.07",3.63958509355476
"240","BUB1","TCGA.WT.AB44.01A.11R.A41B.07",0.71784889311596
"241","CASC5","TCGA.E9.A1NI.01A.11R.A14D.07",2.10392575826438
"242","CASC5","TCGA.E2.A1LK.01A.21R.A14D.07",1.63358810376953
"243","CASC5","TCGA.BH.A0B2.01A.11R.A10J.07",1.29953367998719
"244","CASC5","TCGA.E2.A107.01A.11R.A10J.07",2.24032706092083
"245","CASC5","TCGA.LL.A5YN.01A.11R.A28M.07",0.380470520241052
"246","CASC5","TCGA.BH.A0DQ.01A.11R.A084.07",1.85230705914137
"247","CASC5","TCGA.D8.A73X.01A.11R.A32P.07",0.972809708333089
"248","CASC5","TCGA.AR.A0TP.01A.11R.A084.07",2.98686809416593
"249","CASC5","TCGA.E2.A1IF.01A.11R.A144.07",0.72703282469943
"250","CASC5","TCGA.EW.A6SD.01A.12R.A33J.07",2.25316098609704
"251","CASC5","TCGA.AO.A03T.01A.21R.A034.07",0.852683795925566
"252","CASC5","TCGA.OL.A5D8.01A.11R.A27Q.07",1.74619361200141
"253","CASC5","TCGA.AR.A24X.01A.11R.A169.07",2.64825093284574
"254","CASC5","TCGA.B6.A0WV.01A.11R.A109.07",2.79311703664304
"255","CASC5","TCGA.A8.A09W.01A.11R.A00Z.07",3.61315118645705
"256","CASC5","TCGA.C8.A8HQ.01A.11R.A36F.07",2.92705409269155
"257","CASC5","TCGA.B6.A0RU.01A.11R.A084.07",3.48874886876222
"258","CASC5","TCGA.A8.A09E.01A.11R.A00Z.07",2.88935339880307
"259","CASC5","TCGA.A7.A6VX.01A.12R.A33J.07",2.108499023799
"260","CASC5","TCGA.E2.A14O.01A.31R.A115.07",1.13546210741929
"261","CASC5","TCGA.A2.A1G6.01A.11R.A13Q.07",0.334509310780172
"262","CASC5","TCGA.E2.A1LA.01A.11R.A144.07",0.965104023008589
"263","CASC5","TCGA.BH.A0GZ.01A.11R.A056.07",1.14417341318332
"264","CASC5","TCGA.D8.A1JG.01B.11R.A13Q.07",3.73258741869452
"265","CASC5","TCGA.A7.A13G.01B.04R.A22O.07",2.32248830035943
"266","CASC5","TCGA.B6.A400.01A.11R.A239.07",2.47705683743002
"267","CASC5","TCGA.MS.A51U.01A.31R.A266.07",1.12334884648863
"268","CASC5","TCGA.BH.A0EB.01A.11R.A034.07",1.42902050603957
"269","CASC5","TCGA.AR.A2LR.01A.12R.A18M.07",2.77697321888493
"270","CASC5","TCGA.BH.A0AZ.01A.21R.A12P.07",1.18164071218901
"271","CASC5","TCGA.BH.A18K.01A.11R.A12D.07",1.82716965250451
"272","CASC5","TCGA.AO.A0J7.01A.11R.A034.07",2.019928159876
"273","CASC5","TCGA.A2.A0YH.01A.11R.A109.07",2.83120901422311
"274","CASC5","TCGA.BH.A42V.01A.11R.A24H.07",0.660812603848653
"275","CASC5","TCGA.AR.A5QN.01A.12R.A28M.07",2.11815578461348
"276","CASC5","TCGA.B6.A0X1.01A.11R.A109.07",3.60800439717281
"277","CASC5","TCGA.S3.A6ZG.01A.22R.A32P.07",2.71300702121628
"278","CASC5","TCGA.A8.A085.01A.11R.A00Z.07",2.75578869574337
"279","CASC5","TCGA.D8.A1J9.01A.11R.A13Q.07",2.60044668219332
"280","CASC5","TCGA.A7.A0DC.01B.04R.A22O.07",2.31405920219716
"281","CASC5","TCGA.AR.A24S.01A.11R.A169.07",3.06162357563291
"282","CASC5","TCGA.BH.A0BA.01A.11R.A056.07",2.80454357699604
"283","CASC5","TCGA.A2.A0YM.01A.11R.A109.07",3.38188585138295
"284","CASC5","TCGA.D8.A27N.01A.11R.A16F.07",1.62617977599428
"285","CASC5","TCGA.EW.A1PH.01A.11R.A14M.07",2.08920123786065
"286","CASC5","TCGA.EW.A1OZ.01A.11R.A144.07",1.80572054574449
"287","CASC5","TCGA.AO.A12G.01A.11R.A10J.07",1.50943877932223
"288","CASC5","TCGA.AR.A1AK.01A.21R.A12P.07",2.29474831577682
"289","CASC5","TCGA.AC.A5EH.01A.11R.A28M.07",2.10616551954424
"290","CASC5","TCGA.D8.A27I.01A.11R.A16F.07",1.7094773641765
"291","CASC5","TCGA.D8.A1JP.01A.11R.A13Q.07",1.64037734560667
"292","CASC5","TCGA.E2.A14R.01A.11R.A115.07",2.36941247040943
"293","CASC5","TCGA.A2.A0SW.01A.11R.A084.07",2.44505989618395
"294","CASC5","TCGA.AQ.A0Y5.01A.11R.A14M.07",2.62552049600285
"295","CASC5","TCGA.AO.A125.01A.11R.A10J.07",1.27170450337117
"296","CASC5","TCGA.A2.A0T2.01A.11R.A084.07",1.23325759985494
"297","CASC5","TCGA.A2.A1FW.01A.11R.A13Q.07",3.13384761851123
"298","CASC5","TCGA.B6.A0I9.01A.11R.A034.07",2.70704748957491
"299","CASC5","TCGA.GM.A2DK.01A.21R.A180.07",0.524407350534147
"300","CASC5","TCGA.E2.A159.01A.11R.A115.07",3.44221531193744
"301","CASC5","TCGA.A8.A084.01A.21R.A00Z.07",3.1601828280654
"302","CASC5","TCGA.BH.A42U.01A.12R.A24H.07",0.1460666776342
"303","CASC5","TCGA.D8.A1JH.01A.11R.A13Q.07",1.95315991549369
"304","CASC5","TCGA.E2.A14P.01A.31R.A12D.07",2.38578186999917
"305","CASC5","TCGA.E2.A1L7.01A.11R.A144.07",2.90459760598764
"306","CASC5","TCGA.E2.A1IL.01A.11R.A14D.07",1.9254268679516
"307","CASC5","TCGA.BH.A6R8.01A.21R.A33J.07",0.59557553911296
"308","CASC5","TCGA.A7.A4SD.01A.11R.A266.07",2.74733382245786
"309","CASC5","TCGA.A8.A083.01A.21R.A00Z.07",1.6555494262649
"310","CASC5","TCGA.B6.A0I5.01A.11R.A034.07",0.477001154119667
"311","CASC5","TCGA.D8.A1JA.01A.11R.A13Q.07",3.19242405768465
"312","CASC5","TCGA.A2.A0D0.01A.11R.A00Z.07",2.39726819053987
"313","CASC5","TCGA.A8.A07B.01A.11R.A00Z.07",3.38914161020897
"314","CASC5","TCGA.C8.A275.01A.21R.A16F.07",4.19330042239148
"315","CASC5","TCGA.AO.A1KQ.01A.11R.A13Q.07",1.42631156889611
"316","CASC5","TCGA.E9.A5UP.01A.11R.A28M.07",0.432375285978647
"317","CASC5","TCGA.AR.A24T.01A.11R.A169.07",1.02957651338561
"318","CASC5","TCGA.D8.A1XB.01A.11R.A14D.07",1.97751660421433
"319","CASC5","TCGA.E9.A245.01A.22R.A16F.07",1.61285888061571
"320","CASC5","TCGA.WT.AB44.01A.11R.A41B.07",0.015613751363592
"321","CDCA8","TCGA.E9.A1NI.01A.11R.A14D.07",4.83645938618792
"322","CDCA8","TCGA.E2.A1LK.01A.21R.A14D.07",5.28609379351258
"323","CDCA8","TCGA.BH.A0B2.01A.11R.A10J.07",2.80313250299146
"324","CDCA8","TCGA.E2.A107.01A.11R.A10J.07",5.16698446509545
"325","CDCA8","TCGA.LL.A5YN.01A.11R.A28M.07",3.72099087777724
"326","CDCA8","TCGA.BH.A0DQ.01A.11R.A084.07",4.74364094917342
"327","CDCA8","TCGA.D8.A73X.01A.11R.A32P.07",3.95195093421938
"328","CDCA8","TCGA.AR.A0TP.01A.11R.A084.07",5.32482061048056
"329","CDCA8","TCGA.E2.A1IF.01A.11R.A144.07",4.02398873853807
"330","CDCA8","TCGA.EW.A6SD.01A.12R.A33J.07",4.17926488525006
"331","CDCA8","TCGA.AO.A03T.01A.21R.A034.07",4.9178384278811
"332","CDCA8","TCGA.OL.A5D8.01A.11R.A27Q.07",4.5517379542747
"333","CDCA8","TCGA.AR.A24X.01A.11R.A169.07",4.01873448905186
"334","CDCA8","TCGA.B6.A0WV.01A.11R.A109.07",4.95571699035049
"335","CDCA8","TCGA.A8.A09W.01A.11R.A00Z.07",5.97245044706542
"336","CDCA8","TCGA.C8.A8HQ.01A.11R.A36F.07",4.75936010908106
"337","CDCA8","TCGA.B6.A0RU.01A.11R.A084.07",6.83740024462431
"338","CDCA8","TCGA.A8.A09E.01A.11R.A00Z.07",4.36959735676689
"339","CDCA8","TCGA.A7.A6VX.01A.12R.A33J.07",4.45460748987741
"340","CDCA8","TCGA.E2.A14O.01A.31R.A115.07",4.25396366316662
"341","CDCA8","TCGA.A2.A1G6.01A.11R.A13Q.07",2.11262257663513
"342","CDCA8","TCGA.E2.A1LA.01A.11R.A144.07",4.96185311995405
